,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,0.317,0.783,1,-10.35,1,0.202,0.619,0.257,0.122,0.708,87.274,373467,4
0,0.513,0.844,5,-8.69,0,0.0253,0.103,0.864,0.182,0.861,95.792,103009,4
0,0.763,0.616,0,-8.117,1,0.0365,0.541,0.787,0.113,0.645,94.49,125227,4
0,0.733,0.82,1,-7.288,1,0.24,0.239,0.0,0.335,0.625,97.733,209480,4
0,0.428,0.525,9,-8.035,0,0.205,0.14,7.34e-05,0.602,0.578,171.797,146853,4
0,0.678,0.747,5,-10.798,0,0.0356,0.806,0.913,0.246,0.785,122.972,271167,4
0,0.721,0.385,4,-13.616,0,0.0405,0.611,0.675,0.101,0.203,87.181,154867,4
0,0.799,0.652,1,-4.348,0,0.0448,0.367,0.956,0.106,0.666,90.221,98467,4
0,0.598,0.738,10,-9.53,1,0.0679,0.34,0.858,0.104,0.168,170.012,215598,4
0,0.279,0.299,7,-15.86,0,0.0319,0.897,0.819,0.214,0.313,147.812,311133,4
0,0.695,0.923,1,-3.93,0,0.0522,0.0425,0.0469,0.116,0.551,108.014,215150,3
0,0.246,0.988,11,-2.278,0,0.193,1.03e-05,0.000117,0.338,0.192,124.651,299060,4
0,0.663,0.703,3,-12.125,0,0.0562,0.187,0.326,0.319,0.299,117.953,357960,4
0,0.465,0.225,4,-12.637,0,0.0455,0.948,0.00155,0.18,0.207,57.75,256427,4
0,0.761,0.649,1,-14.042,1,0.117,0.845,0.927,0.0715,0.798,120.186,112500,4
0,0.775,0.751,1,-4.888,0,0.0396,0.467,0.0553,0.186,0.666,102.052,190588,4
0,0.451,0.715,6,-9.718,1,0.0525,0.0102,0.887,0.294,0.663,118.865,399935,4
0,0.545,0.534,8,-6.874,0,0.047,0.235,0.0,0.345,0.24,140.021,480187,4
0,0.752,0.575,7,-9.001,1,0.0947,0.0308,0.876,0.0816,0.663,93.008,353547,4
0,0.737,0.521,10,-11.922,0,0.0741,0.199,0.883,0.105,0.718,170.103,342293,4
0,0.444,0.585,11,-11.189,0,0.0393,0.682,0.674,0.0938,0.425,136.443,589093,4
0,0.406,0.543,7,-10.053,0,0.13,0.855,0.87,0.106,0.476,167.95,240493,5
0,0.724,0.757,9,-4.787,0,0.0274,0.00777,0.000154,0.215,0.878,109.98,183253,4
0,0.442,0.345,0,-12.269,1,0.277,0.866,0.0366,0.251,0.343,82.824,305760,4
0,0.798,0.453,7,-5.859,0,0.0972,0.382,0.00276,0.0567,0.61,87.95,200353,4
0,0.591,0.429,10,-12.519,1,0.0384,0.402,0.911,0.11,0.402,129.275,141849,4
0,0.476,0.778,1,-9.19,1,0.166,0.827,0.247,0.156,0.453,157.404,264413,4
0,0.542,0.485,5,-13.131,0,0.439,0.792,0.00198,0.102,0.698,174.836,202451,3
0,0.667,0.532,2,-11.288,1,0.18,0.456,0.0122,0.12,0.882,86.576,90000,4
0,0.152,0.334,9,-10.125,1,0.0298,0.886,0.408,0.133,0.198,168.267,79202,4
